Format: must be tab separated, first four field are required, 5th-7th are optional.						
VariableName	DefaultValue	VariableTitle	DataType	DisplayOrder	LowerBound	UpperBound
@begin						
randGenSeed	32461	Random number generator seed	INTEGER	1	0	99999999
runStartDate	10/1/90	Run start date	DATE	5		
runEndDate	9/30/00	Run end date	DATE	10		
popInitDate	10/1/90	Date used to identify initial population characteristics from population initialization input file	DATE	15		
siteLatitude	40	Latitude of the study site, in degrees north	FLOAT	20	0	90
fishOutputFile	Live_Fish_Out.csv	Population output file name	OUTFILENAME	25		
fishMortalityFile	Dead_Fish_Out.csv	Mortality output file name	OUTFILENAME	30		
reddOutputFile	Redds_Out.csv	Redd output file name	OUTFILENAME	35		
fileOutputFrequency	1	Days between file outputs	INTEGER	40	1	30
appendFiles	NO	NO to overwrite output files; YES to append	BOOL	45		
shuffleYears	NO	YES if simulation years should be randomly shuffled; NO if not	BOOL	50		
shuffleYearReplace	YES	YES if year shuffle randomization is with replacement (only relevant if 'shuffleYears' is YES); NO if without replacement	BOOL	55		
shuffleYearSeed	1	Seed used by random year shuffler	INTEGER	60	0	99999999
writeFoodAvailabilityReport	NO	YES to produce optional food availability report	BOOL	65		
writeDepthReport	NO	YES to produce optional cell depth report	BOOL	70		
writeVelocityReport	NO	YES to produce optional cell velocity report	BOOL	75		
writeDepthVelocityReport	NO	YES to produce optional depth and velocity report	BOOL	80		
writeHabitatReport	NO	YES to produce optional daily temperature, flow, turbidity report	BOOL	85		
writeMoveReport	NO	YES to produce optional output to test fish habitat selection	BOOL	90		
writeReadyToSpawnReport	NO	YES to produce optional output to test fish spawning decision	BOOL	95		
writeSpawnCellReport	NO	YES to produce optional output to test fish spawn site selection	BOOL	100		
writeReddSurvReport	NO	YES to produce optional details on survival of each redd with habitat data	BOOL	105		
writeReddMortReport	NO	YES to produce optional details on egg mortality for each redd	BOOL	110		
writeCellFishReport	NO	YES to produce optional report on habitat variables and fish in each cell	BOOL	115		
writeIndividualFishReport	NO	YES to produce optional output of state of each fish	BOOL	120		
writeCellCentroidReport	NO	YES to produce a report of cell centroid coordinates	BOOL	125		
@end						
